Agency,Agency Type,/data,Updated to comply?,Web Based Public Data Listing,/data.json,Updated to comply?,/digitalstrategy,Updated with data publication process?,Updated with Inventory Schedule?,Related links/information,Enterprise Data Inventory?,Data.gov ,Sets in listing/sets on data.gov (at launch),Data Listing other formats,1/8/13: /data in compliance?,1/8/13/: /data.json in compliance?,Data.gov scraped?,Scrape converted into CSV?,Inventory converted into CSV?,JSON Error?
Department of Agriculture,Cabinet,http://www.usda.gov/wps/portal/usda/usdahome?navid=data,Yes,http://www.usda.gov/wps/portal/usda/usdahome?navid=data,http://www.usda.gov/data.json,Yes,http://usda.gov/wps/portal/usda/usdahome?navid=DIGITALSTRATEGY,Yes,Summary and Milestones,http://usda.gov/documents/USDA-Public-Dataset-Publication-Process-Nov292013.docx,,http://catalog.data.gov/dataset?q=organization:usda-gov+OR+organization:nass-usda-gov+OR+organization:fns-usda-gov+OR+organization:rma-usda-gov+OR+organization:fs-fed-us+OR+organization:nda-usda-gov+OR+organization:fsa-usda-gov+OR+organization:fsis-usda-gov+OR+organization:ers-usda-gov+OR+organization:nifa-usda-gov+OR+organization:ams-usda-gov+OR+organization:gipsa-usda-gov+OR+organization:stl-usda-gov+OR+organization:aphis-usda-gov+OR+organization:fas-usda-gov+OR+organization:ars-usda-gov+OR+organization:ascr-usda-gov+OR+organization:nrcs-usda-gov+OR+organization:dm-usda-gov+OR+organization:oce-usda-gov+OR+organization:ocio-usda-gov,268/294,http://www.usda.gov/data.xml,,,,,Yes,
Department of Commerce,Cabinet,http://www.commerce.gov/data,Yes,,http://www.commerce.gov/data.json,Yes,http://www.commerce.gov/digitalstrategy,No,No,,,http://catalog.data.gov/dataset?q=organization:doc-gov+OR+organization:census-gov+OR+organization:nist-gov+OR+organization:trade-gov+OR+organization:noaa-gov+OR+organization:bea-gov+OR+organization:ntia-doc-gov+OR+organization:ntis-gov+OR+organization:nws-doc-gov+OR+organization:bis-doc-gov+OR+organization:eda-doc-gov+OR+organization:mbda-doc-gov+OR+organization:uspto-gov,"0/35,832",,Yes,Yes,,,Yes,
Department of Defense,Cabinet,data.defense.gov,Yes,,http://www.defense.gov/data.json,Yes,http://www.defense.gov/digitalstrategy/,Yes,Yes,,,http://catalog.data.gov/dataset?q=organization:dod-gov+OR+organization:dtic-mil+OR+organization:fvap-gov+OR+organization:us-army-mil+OR+organization:atl-dod-gov+OR+organization:dla-mil,331/331,,Yes,Yes,Y,Y,Yes,
Department of Education,Cabinet,http://www.ed.gov/edblogs/technology/education-data-initiative/,Yes,http://datainventory.ed.gov/,http://www2.ed.gov/data.json,Yes,http://www.ed.gov/digitalstrategy,Yes,Summary and Milestones,1.2.7. Develop Data Publication Process,,http://catalog.data.gov/dataset?q=organization:ed-gov+OR+organization:ocr-ed-gov+OR+organization:nces-ed-gov+OR+organization:fsa-ed-gov+OR+organization:oha-ed-gov+OR+organization:oii-ed-gov+OR+organization:ope-ed-gov+OR+organization:ies-ed-gov+OR+organization:osers-ed-gov+OR+organization:ovae-ed-gov,189/112,,,,,,No,"""your file is not ""utf-8"" encoded. Please specify the correct encoding with the -e flag. Use the -v flag to see the complete error"""
Department of Energy,Cabinet,http://energy.gov/data/open-energy-data,Yes,,http://energy.gov/sites/prod/files/2013/11/f5/public-data-listing_2013-11-26.json,Yes,http://energy.gov/data/articles/digital-strategy,Yes,Summary and Milestones,http://energy.gov/data/procedures-public-release-data,,http://catalog.data.gov/dataset?q=organization:doe-gov+OR+organization:eia-doe-gov+OR+organization:osti-gov,197/207,,,,,,Yes,
Department of Health and Human Services,Cabinet,http://hub.healthdata.gov/pod/data-catalog,Yes,http://hub.healthdata.gov/pod/data-catalog,http://hub.healthdata.gov/data.json,yes,http://www.hhs.gov/digitalstrategy,Yes,Summary and milestones,"http://www.hhs.gov/digitalstrategy.html , http://www.healthdata.gov/blog/health-data-initiative-strategy-execution-plan-released-and-ready-feedback#6xTGucIWabDtqRRe.99",,http://catalog.data.gov/dataset?q=organization:hhs-gov+OR+organization:cdc-hhs-gov+OR+organization:samhsa-hhs-gov+OR+organization:acf-hhs-gov+OR+organization:ahrq-hhs-gov+OR+organization:cms-hhs-gov+OR+organization:nih-hhs-gov+OR+organization:aoa-hhs-gov+OR+organization:nlm-nih-gov+OR+organization:hrsa-gov+OR+organization:fda-hhs-gov+OR+organization:ihs-hhs-gov,994/908,,,,,,Yes,
Department of Homeland Security,Cabinet,http://www.dhs.gov/topic/data,No,,http://www.dhs.gov/sites/default/files/publications/digital-strategy/data.json,Yes,http://www.dhs.gov/dhs-digital-strategy,Yes,Summary and Milestones,http://www.dhs.gov/sites/default/files/publications/digital-strategy/digitalstrategy.html,,http://catalog.data.gov/dataset?q=organization:dhs-gov+OR+organization:oha-dhs-gov+OR+organization:ois-dhs-gov+OR+organization:fema-gov+OR+organization:uscg-mil+OR+organization:uscis-dhs-gov,88/179,,No,yes,,,No,"""your file is not ""utf-8"" encoded. Please specify the correct encoding with the -e flag. Use the -v flag to see the complete error"""
Department of Housing and Urban Development,Cabinet,http://data.hud.gov/index.html,Yes,http://data.hud.gov/data_sets.html,http://portal.hud.gov/hudportal/documents/huddoc?id=HUDPUBLICDATASET.JSON,Partial Compliance,http://portal.hud.gov/hudportal/HUD?src=/Digital_Strategy,Yes,Summary and Milestones?,http://portal.hud.gov/hudportal/documents/huddoc?id=DataPublication2013.doc http://portal.hud.gov/hudportal/documents/huddoc?id=datainventorysched.pdf,,http://catalog.data.gov/dataset?q=organization:hud-gov+OR+organization:oh-hud-gov,,,,,,,No,"""your file is not ""utf-8"" encoded. Please specify the correct encoding with the -e flag. Use the -v flag to see the complete error"""
Department of Justice,Cabinet,http://www.justice.gov/data/,Yes,http://www.justice.gov/data/inventory.php,http://www.justice.gov/data.json,Yes,http://www.justice.gov/digitalstrategy/#s1-2,Yes,Summary and milestones,http://www.justice.gov/data/interim-open-data-release-overview-instructions.pdf,,http://catalog.data.gov/dataset?q=organization:doj-gov+OR+organization:eoir-doj-gov+OR+organization:civ-usdoj-gov+OR+organization:cjis-doj-gov+OR+organization:olc-usdoj-gov+OR+organization:cops-doj-gov+OR+organization:crt-usdoj-gov+OR+organization:ic-fbi-gov+OR+organization:atr-usdoj-gov+OR+organization:usao-usdoj-gov+OR+organization:bia-doj-gov+OR+organization:bjs-usdoj-gov+OR+organization:ustp-usdoj-gov+OR+organization:bop-doj-gov,690/184,,,,,,Yes,
Department of Labor,Cabinet,http://www.dol.gov/data,No,http://developer.dol.gov/,http://www.dol.gov/data.json,Yes,http://www.dol.gov/digitalstrategy.html,Yes,Yes,"http://www.dol.gov/digital-strategy/publicationprocess.htm, http://www.dol.gov/digital-strategy/inventoryschedule.htm",,http://catalog.data.gov/dataset?q=organization:brb-dol-gov+OR+organization:ecab-dol-gov+OR+organization:whd-dol-gov+OR+organization:esba-dol-gov+OR+organization:ojc-dol-gov+OR+organization:eta-dol-gov+OR+organization:osha-dol-gov+OR+organization:oalj-dol-gov+OR+organization:oasp-dol-gov+OR+organization:msha-dol-gov+OR+organization:bls-gov,266/66,,No,,,,Yes,
